instructor_id,instructor_name,qualified_labs,max_hours_per_week,instructor_type
A01,BAS Department Staff,BIF325|MTH111|PHY113|ACM215|MTH212,20,TA
A02,ECE Department Staff,ECE111|ECE324|ECE223|ECE214|ECE213,20,TA
A03,Eng. Alaa Essam,AID421|BIF323|AID416|CNC111|CNC312,20,TA
A04,Eng. Ahmed Hassan,BIO111|CHM113|MTH121|PHY123|MTH121,20,TA
A05,Eng. Bassant Tolba,CNC325|ACM422|PHY123|ACM323|CNC422,20,TA
A06,Eng. Fatima Ali,PHY113|AID427|AID428|AID326|AID327,20,TA
A07,Eng. Fatma Elsayed,AID417|BIF328|CNC311|CNC321|CSC122,20,TA
A08,Eng. Heba Abdelkader,AID412|AID422|BIF327|CSE214|CNC111,20,TA
A09,Eng. Maria Mounir,CSC221|CSC425|CNC323|AID425|CSC221,20,TA
A10,Eng. Mariam Ismael,BIF321|BIF322|CSC111|CNC411|CSC121,20,TA
A11,Eng. Menna Hamdi,AID323|AID426|CSC324|CSC422|CSE312,20,TA
A12,Eng. Menna Mahmoud,AID422|CNC327|AID311|CSC211|CSC317,20,TA
A13,Eng. Nada Ahmed,AID325|CSC211|CSC317|CSC422|AID413,20,TA
A14,Eng. Nada Essam,AID325|AID411|BIF425|CSC111|CSC121,20,TA
A15,Eng. Nada Hamdy,BIF421|CSC111|CNC311|CNC422|CSE321,20,TA
A16,Eng. Nourhan Waleed,AID312|CNC314|CNC324|CSC121|CNC421,20,TA
A17,Eng. Omnya Ramadan,CSE214|CSC115|CSC315|CNC222|AID328,20,TA
A18,Eng. Rana Mohamed,AID324|CNC223|AID423|CSC122|CSC122,20,TA
A19,Eng. Saeed Mostafa,AID421|CSC221|CSC427|CNC320|CSC112,20,TA
A20,Eng. Salma Alashry,AID321|AID322|CNC314|CSC114|CSC122,20,TA
A21,Eng. Salma Waleed,AID311|AID312|CSC317|CSC323|CNC421,20,TA
A22,Eng. Omar Ahmed,CSC113|CSC114|CSE423|AID111|CSC321,20,TA
A23,Eng. Layla Ibrahim,AID221|CSC322|BIF411,20,TA
A24,Eng. Yousef Ali,CSC113|CSE423|CSC314,20,TA
A25,Eng. Hana Adel,AID111|AID221|BIF311|BIF413,20,TA
A26,Eng. Zayd Tarek,ECE214|ECE213|BIF412|BIF424,20,TA
A28,Eng. Omar Hassan,AID311|AID312|AID321|AID322|AID323,20,TA
A29,Eng. Fatima Ali,AID324|AID325|AID411|AID412|AID417,20,TA
A30,Eng. Ali Ibrahim,AID421|AID422|AID426|BIF321|BIF322,20,TA
A31,Eng. Layla Adel,BIF323|BIF325|BIF327|BIF328|BIF421,20,TA
A32,Eng. Yousef Said,BIF425|BIO111|CHM113|CNC111|CNC222,20,TA
A33,Eng. Hana Tarek,CNC223|CNC311|CNC312|CNC314|CNC320,20,TA
A34,Eng. Zayd Ahmed,CNC321|CNC323|CNC324|CNC325|CNC327,20,TA
A35,Eng. Maryam Essam,CNC411|CNC421|CNC422|CSC111|CSC114,20,TA
A36,Eng. Adam Mohamed,CSC115|CSC121|CSC122|CSC211|CSC221,20,TA
A37,Eng. Nora Gamal,CSC315|CSC317|CSC321|CSC322|CSC323,20,TA
A38,Prof. Yumi Sato,LRA401|LRA403,20,TA
A39,Prof. Ahmed Hassan,LRA402|LRA404,20,TA
A40,Prof. Lina Morales,LRA401|LRA403|LRA402,20,TA
A41,Eng. Omar Hassan,CNC413|CNC414|CNC415|CNC418|CNC419,20,TA
A42,Eng. Fatima Ali,CSC410|CSC411|CSC412|CSC413|CSC414|CSC415|CSC426,20,TA
A43,Eng. Ali Sato,AID421|ACM215,20,TA
A44,Eng. Layla Zayd,BIF323|ACM215,20,TA
A45,Eng. Yousef Said,BIF425|ACM215,20,TA
A46,Eng. Hana Yousef,CNC223|CNC311|CNC312|CNC314|CNC320,20,TA
A47,Eng. Zayd Waleed,CNC321|CNC323|CNC324|CNC325|CNC327,20,TA
A48,Eng. Math Specialist 1,MTH111|MTH212|ACM215,15,TA
A49,Eng. Math Specialist 2,MTH111|MTH212|ACM215,12,TA
A50,Eng. Statistics Expert,MTH212|ACM215,10,TA
A51,Prof. Language Assistant 1,LRA401|LRA403,12,TA
A52,Prof. Language Assistant 2,LRA401|LRA403,10,TA
A53,Prof. JA Culture Specialist,LRA401|LRA403,15,TA
101,Eng. Omnya,CSC111|ECE111|MTH111,12,TA
102,Eng. Nouran Moussa,CSC111|CSC211,10,TA
103,Eng. Zeina Ahmed,CSC111|AID321|AID428,15,TA
104,Eng. ECE,ECE111|PHY113,8,TA
105,Eng. Mariem Nagy,CSC111|CSC211,12,TA
106,Eng. Nour Akram,CSC111,10,TA
107,Eng. nesrien ahmed,MTH111|AID321|CSC114,12,TA
108,Eng. Nada Essam,CSC111|AID411,10,TA
